排名,股票代码,股票名称,最新收盘价,20日前收盘价,20日涨幅%,交易所,申万二级行业
1,1896,豫能控股,15.88,6.2,156.13,SZ,
2,301362,民爆光电,108.88,44.98,142.06,SZ,电气设备
3,711,ST京蓝,4.16,1.89,120.11,SZ,
4,603618,杭电股份,19.17,9.04,112.06,SH,电气设备
5,600397,江钨装备,19.99,10.02,99.5,SH,煤炭开采
6,2378,章源钨业,44.7,22.79,96.14,SZ,
7,2498,汉缆股份,9.83,5.13,91.62,SZ,
8,300749,顶固集创,31.5,16.74,88.17,SZ,家居用品
9,301373,凌玮科技,66.6,36.43,82.82,SZ,化工原料
10,603950,长源东谷,54.84,30.1,82.19,SH,汽车配件
11,300344,*ST立方,1.87,1.04,79.81,SZ,软件服务
12,300461,田中精机,61.25,34.31,78.52,SZ,专用机械
13,600875,东方电气,44.22,24.85,77.95,SH,电气设备
14,300617,安靠智电,71.97,40.52,77.62,SZ,电气设备
15,533,顺钠股份,14.88,8.38,77.57,SZ,
16,890,法尔胜,9.05,5.17,75.05,SZ,
17,688480,赛恩斯,131.31,77.19,70.11,SH,环境保护
18,2506,协鑫集成,5.56,3.29,69.0,SZ,
19,300658,延江股份,30.26,18.0,68.11,SZ,纺织
20,300264,佳创视讯,10.36,6.25,65.76,SZ,软件服务
21,600545,卓郎智能,4.15,2.52,64.68,SH,纺织机械
22,2842,翔鹭钨业,43.01,26.12,64.66,SZ,
23,605289,罗曼股份,131.15,80.41,63.1,SH,建筑工程
24,301018,申菱环境,106.66,65.52,62.79,SZ,专用机械
25,301580,爱迪特,81.91,51.11,60.26,SZ,医疗保健
26,600026,中远海能,25.24,15.8,59.75,SH,水运
27,300739,明阳电路,30.2,18.94,59.45,SZ,元器件
28,688025,杰普特,256.82,161.7,58.82,SH,专用机械
29,300265,通光线缆,20.61,13.05,57.93,SZ,电气设备
30,600714,金瑞矿业,24.47,15.52,57.67,SH,化工原料
31,300831,派瑞股份,21.03,13.34,57.65,SZ,半导体
32,300164,通源石油,20.3,12.88,57.61,SZ,石油开采
33,3018,金富科技,27.1,17.26,57.01,SZ,
34,603530,神马电力,71.2,45.46,56.62,SH,电气设备
35,2980,华盛昌,34.4,22.03,56.15,SZ,
36,605366,宏柏新材,10.92,7.03,55.33,SH,化工原料
37,600722,金牛化工,13.53,8.73,54.98,SH,化工原料
38,688309,恒誉环保,48.88,31.6,54.68,SH,环境保护
39,301338,凯格精机,193.0,125.3,54.03,SZ,专用机械
40,2843,泰嘉股份,27.93,18.18,53.63,SZ,
41,300912,凯龙高科,28.88,18.9,52.8,SZ,汽车配件
42,300303,聚飞光电,10.82,7.09,52.61,SZ,半导体
43,688530,欧莱新材,33.22,21.86,51.97,SH,半导体
44,600759,洲际油气,8.24,5.45,51.19,SH,石油开采
45,601872,招商轮船,17.12,11.36,50.7,SH,水运
46,603268,*ST松发,125.7,83.43,50.67,SH,船舶
47,600482,中国动力,39.26,26.08,50.54,SH,船舶
48,603629,利通电子,56.13,37.4,50.08,SH,元器件
49,300277,海联讯,24.93,16.69,49.37,SZ,机械基件
50,2015,协鑫能科,15.62,10.48,49.05,SZ,
51,688479,友车科技,32.96,22.21,48.4,SH,软件服务
52,300257,开山股份,25.3,17.05,48.39,SZ,机械基件
53,988,华工科技,114.78,77.41,48.28,SZ,
54,300393,中来股份,12.11,8.18,48.04,SZ,塑料
55,600108,亚盛集团,5.52,3.74,47.59,SH,种植业
56,688125,安达智能,251.97,171.01,47.34,SH,专用机械
57,2126,银轮股份,54.31,36.89,47.22,SZ,
58,300819,聚杰微纤,55.5,37.74,47.06,SZ,纺织
59,2470,金正大,2.86,1.95,46.67,SZ,
